kata,f1_frekuensi,f2_panjang,f3_huruf_bingung,f4_suku_kata,f5_fonem_kompleks,f6_visual,f1_frekuensi_norm,f2_panjang_norm,f3_huruf_bingung_norm,f4_suku_kata_norm,f5_fonem_kompleks_norm,f6_visual_norm,klaster,label
dipinjam,1,8,1,3,0,0.5,0.0,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
buruknya,1,8,1,3,0,0.5,0.0,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
calonkan,1,8,0,3,0,0.25,0.0,0.2727272727272727,0.0,0.25,0.0,0.25,0,mudah
giliran,3,7,0,3,0,0.1429,0.0060422960725075,0.2272727272727272,0.0,0.25,0.0,0.1429,0,mudah
bersuara,4,8,1,4,0,0.25,0.0090634441087613,0.2727272727272727,1.0,0.375,0.0,0.25,1,sulit
kepang,1,6,1,2,0,0.3333,0.0,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
buktinya,1,8,1,3,0,0.375,0.0,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
dangkan,1,7,1,2,0,0.4286,0.0,0.2272727272727272,1.0,0.125,0.0,0.4286,1,sulit
ketujuh,1,7,0,3,0,0.2857,0.0,0.2272727272727272,0.0,0.25,0.0,0.2857,0,mudah
pendiam,1,7,1,3,0,0.5714,0.0,0.2272727272727272,1.0,0.25,0.0,0.5714,1,sulit
mir,1,3,0,1,0,0.3333,0.0,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
nih,1,3,0,1,0,0.3333,0.0,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
bergegas,5,8,1,3,0,0.125,0.0120845921450151,0.2727272727272727,1.0,0.25,0.0,0.125,1,sulit
melewatkan,1,10,0,4,0,0.3,0.0,0.3636363636363636,0.0,0.375,0.0,0.3,0,mudah
isti,1,4,0,2,0,0.0,0.0,0.0909090909090909,0.0,0.125,0.0,0.0,0,mudah
rahat,1,5,0,2,0,0.0,0.0,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
memi,1,4,0,2,0,0.5,0.0,0.0909090909090909,0.0,0.125,0.0,0.5,0,mudah
lihnya,1,6,1,2,0,0.1667,0.0,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
john,1,4,0,1,0,0.25,0.0,0.0909090909090909,0.0,0.0,0.0,0.25,0,mudah
beriringan,1,10,1,4,0,0.3,0.0,0.3636363636363636,1.0,0.375,0.0,0.3,1,sulit
menenteng,1,9,1,3,0,0.4444,0.0,0.3181818181818182,1.0,0.25,0.0,0.4444,1,sulit
